Province,Entry_Date,Cumulative confirmed cases,Confirmed cases per day,Cumulative death cases,Deaths per day,Cumulative hospitalizations cases,hospitalizations per day,Mortality rate,Daily mortality rate
British Columbia,1/22/2021,63903,484,1128,9,315,6,1.765,1.86
Newfoundland and Labrador,1/22/2021,398,1,4,0,1,0,1.005,0
Yukon,1/22/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/23/2021,31,0,0,0,0,0,0,0
Prince Edward Island,1/23/2021,110,0,0,0,0,0,0,0
British Columbia,1/23/2021,64397,494,1128,0,315,0,1.752,0
Yukon,1/23/2021,83,0,1,0,0,0,1.205,0
Saskatchewan,1/23/2021,21917,274,250,3,197,20,1.141,1.095
Nunavut,1/23/2021,267,0,1,0,0,0,0.375,0
Nova Scotia,1/23/2021,1570,0,65,0,0,0,4.14,0
New Brunswick,1/23/2021,1104,17,13,0,5,0,1.178,0
Newfoundland and Labrador,1/23/2021,398,0,4,0,1,0,1.005,0
Northwest Territories,1/24/2021,31,0,0,0,0,0,0,0
New Brunswick,1/24/2021,1124,20,13,0,5,0,1.157,0
Prince Edward Island,1/24/2021,110,0,0,0,0,0,0,0
Nova Scotia,1/24/2021,1571,1,65,0,0,0,4.137,0
Newfoundland and Labrador,1/24/2021,398,0,4,0,1,0,1.005,0
Manitoba,1/24/2021,28735,224,812,2,272,6,2.826,0.893
British Columbia,1/24/2021,64756,359,1128,0,315,0,1.742,0
Nunavut,1/24/2021,280,13,1,0,0,0,0.357,0
Yukon,1/24/2021,83,0,1,0,0,0,1.205,0
Newfoundland and Labrador,1/25/2021,398,0,4,0,1,0,1.005,0
New Brunswick,1/25/2021,1151,27,14,1,6,1,1.216,3.704
British Columbia,1/25/2021,65090,334,1154,26,328,13,1.773,7.784
Prince Edward Island,1/25/2021,110,0,0,0,0,0,0,0
Yukon,1/25/2021,83,0,1,0,0,0,1.205,0
Nunavut,1/25/2021,282,2,1,0,0,0,0.355,0
Northwest Territories,1/25/2021,31,0,0,0,0,0,0,0
Nova Scotia,1/25/2021,1571,0,65,0,0,0,4.137,0
Saskatchewan,1/25/2021,22416,239,254,1,202,6,1.133,0.418
Manitoba,1/25/2021,28866,131,818,6,272,0,2.834,4.58
Ontario,1/26/2021,261883,1899,6182,63,1480,45,2.361,3.318
New Brunswick,1/26/2021,1161,10,14,0,7,1,1.206,0
Newfoundland and Labrador,1/26/2021,398,0,4,0,1,0,1.005,0
Saskatchewan,1/26/2021,22646,230,268,14,208,6,1.183,6.087
Quebec,1/26/2021,248129,1176,9068,24,1325,4,3.655,2.041
Prince Edward Island,1/26/2021,110,0,0,0,0,0,0,0
Nunavut,1/26/2021,282,0,1,0,0,0,0.355,0
Nova Scotia,1/26/2021,1572,1,65,0,0,0,4.135,0
Yukon,1/26/2021,83,0,1,0,0,0,1.205,0
Northwest Territories,1/26/2021,31,0,0,0,0,0,0,0
Nunavut,1/27/2021,282,0,1,0,0,0,0.355,0
Yukon,1/27/2021,83,0,1,0,0,0,1.205,0
Prince Edward Island,1/27/2021,110,0,0,0,0,0,0,0
Newfoundland and Labrador,1/27/2021,400,2,4,0,1,0,1,0
Manitoba,1/27/2021,29018,88,829,6,281,11,2.857,6.818
Saskatchewan,1/27/2021,22794,148,274,6,220,12,1.202,4.054
Nova Scotia,1/27/2021,1576,4,65,0,0,0,4.124,0
Northwest Territories,1/27/2021,31,0,0,0,0,0,0,0
Northwest Territories,1/28/2021,31,0,0,0,0,0,0,0
Newfoundland and Labrador,1/28/2021,404,4,4,0,1,0,0.99,0
Nova Scotia,1/28/2021,1576,0,65,0,1,1,4.124,0
Nunavut,1/28/2021,283,1,1,0,0,0,0.353,0
Prince Edward Island,1/28/2021,111,1,0,0,0,0,0,0
Yukon,1/28/2021,83,0,1,0,0,0,1.205,0
